ID	Total Sequences	Percent Failed	Percent GC	Percent Duplication
NoWGA_Adu-AMat_NR_10	22626345	36.36363636	42	22.85766375
NoWGA_Adu-AMat_NR_3.2	18538669	45.45454545	44	26.62551461
NoWGA_Adu-AMat_R_10	32061574	36.36363636	43	24.34355983
NoWGA_Adu-AMat_R_3.2	20795529	36.36363636	41	24.2870868
NoWGA_Adu-CHam_NR_1	56793298	27.27272727	43	51.27821431
NoWGA_Adu-CHam_NR_10	37212563	36.36363636	45	42.07049789
NoWGA_Adu-CHam_NR_3.2	55032990	36.36363636	46	45.68020678
NoWGA_Adu-CHam_R_1	52844376	18.18181818	43	47.41036401
NoWGA_Adu-CHam_R_10	56331948	18.18181818	44	37.40778707
NoWGA_Adu-CHam_R_3.2	50799485	18.18181818	43	41.0695954
NoWGA_Aur-APnb_NR_10	27678786	45.45454545	46	29.50747296
NoWGA_Aur-APnb_NR_3.2	8601064	45.45454545	47	36.03397947
NoWGA_Aur-APnb_R_1	9157951	36.36363636	42	28.99201963
NoWGA_Aur-APnb_R_10	33003867	27.27272727	41	27.89061048
NoWGA_Aur-APnb_R_3.2	16608468	36.36363636	41	26.3548217
NoWGA_Aur-CRag22_NR_1	58690522	27.27272727	44	46.48714369
NoWGA_Aur-CRag22_NR_10	44723651	18.18181818	43	31.18256186
NoWGA_Aur-CRag22_NR_3.2	43858048	18.18181818	42	37.26362407
NoWGA_Aur-CRag22_R_1	61284331	18.18181818	43	42.44191642
NoWGA_Aur-CRag22_R_10	53662110	27.27272727	44	34.10634507
NoWGA_Aur-CRag22_R_3.2	57420661	18.18181818	43	39.65818032
NoWGA_Aur-CRag39_NR_1	25661530	27.27272727	42	51.08876512
NoWGA_Aur-CRag39_NR_10	50929542	18.18181818	44	31.25610942
NoWGA_Aur-CRag39_NR_3.2	50499449	18.18181818	43	35.87121355
NoWGA_Aur-CRag39_R_1	63050259	36.36363636	45	40.84834765
NoWGA_Aur-CRag39_R_10	50545954	18.18181818	44	34.03808444
NoWGA_Aur-CRag39_R_3.2	52716296	18.18181818	44	30.41212845
NoWGA_Lle-AMnt_NR_10	23163090	45.45454545	52	28.93637494
NoWGA_Lle-AMnt_NR_3.2	23530774	36.36363636	50	25.35483097
NoWGA_Lle-AMnt_R_1	23568689	27.27272727	49	27.41735215
NoWGA_Lle-AMnt_R_10	29179748	36.36363636	50	27.18880557
NoWGA_Lle-AMnt_R_3.2	27542172	36.36363636	50	25.02337008
NoWGA_Lle-CNas_NR_1	21695215	27.27272727	49	38.42830089
NoWGA_Lle-CNas_NR_10	47812080	27.27272727	47	27.26434555
NoWGA_Lle-CNas_NR_3.2	54031042	27.27272727	48	32.48654388
NoWGA_Lle-CNas_R_1	41999036	18.18181818	46	42.51886392
NoWGA_Lle-CNas_R_10	47908566	36.36363636	49	30.26217702
NoWGA_Lle-CNas_R_3.2	45289422	9.090909091	45	36.18350154
NoWGA_Sob-ABil_NR_1	14629481	36.36363636	49	31.88449851
NoWGA_Sob-ABil_NR_10	22792079	45.45454545	56	40.04411419
NoWGA_Sob-ABil_NR_3.2	39269834	36.36363636	49	28.49852791
NoWGA_Sob-ABil_R_1	17064714	27.27272727	50	31.34644038
NoWGA_Sob-ABil_R_10	37446097	36.36363636	49	27.88027613
NoWGA_Sob-ABil_R_3.2	21318972	36.36363636	48	28.14825261
NoWGA_Ssp-AAtu_NR_3.2	12791784	45.45454545	46	31.98470802
NoWGA_Ssp-AAtu_R_3.2	19131950	36.36363636	43	31.25694797
NoWGA_Ssp-CGub_NR_1	58346862	27.27272727	44	52.28954738
NoWGA_Ssp-CGub_NR_10	51627516	36.36363636	48	34.39520615
NoWGA_Ssp-CGub_NR_3.2	57072211	18.18181818	45	40.03738997
NoWGA_Ssp-CGub_R_1	52432858	18.18181818	44	43.69117454
NoWGA_Ssp-CGub_R_10	45151093	18.18181818	45	39.49370019
NoWGA_Ssp-CGub_R_3.2	45857666	18.18181818	46	32.6736286
NoWGA_Tbi-CJos_NR_1	40941530	27.27272727	41	51.27109517
NoWGA_Tbi-CJos_NR_10	44476172	18.18181818	42	25.3498089
NoWGA_Tbi-CJos_NR_3.2	54894730	18.18181818	42	27.4879512
NoWGA_Tbi-CJos_R_1	60369514	36.36363636	44	34.59289682
NoWGA_Tbi-CJos_R_10	51391996	18.18181818	42	31.86165047
NoWGA_Tbi-CJos_R_3.2	53141502	18.18181818	40	46.08054434
WGA_Adu-ATaw_NR_0.32	51314466	27.27272727	51	63.4176325
WGA_Adu-ATaw_NR_1	17218770	45.45454545	46	60.12453287
WGA_Adu-CHam_NR_0.32	36212874	9.090909091	40	18.68739593
WGA_Adu-CHam_NR_1	53200617	18.18181818	41	20.32664652
WGA_Adu-CHam_NR_3.2	47304959	18.18181818	41	19.12451636
WGA_Adu-CHam_R_0.32	23623632	9.090909091	40	27.53452654
WGA_Adu-CHam_R_1	41147954	9.090909091	41	26.46194291
WGA_Adu-CHam_R_3.2	45911457	18.18181818	41	26.83967583
WGA_Aur-APnb_NR_0.32	36501618	27.27272727	38	79.47673341
WGA_Aur-CRag_NR_0.32	52363118	9.090909091	41	23.74781691
WGA_Aur-CRag_NR_1	34874118	0	41	20.50996956
WGA_Aur-CRag_NR_3.2	58486748	9.090909091	41	25.30106873
WGA_Aur-CRag_R_0.32	41474336	18.18181818	42	23.91195906
WGA_Aur-CRag_R_1	47461542	9.090909091	41	26.60449107
WGA_Aur-CRag_R_3.2	5799803	9.090909091	41	18.17974206
WGA_Hte-CTic_NR_0.32	42551314	18.18181818	41	16.92818247
WGA_Hte-CTic_NR_1	61696102	9.090909091	41	24.75091448
WGA_Hte-CTic_NR_3.2	47831242	18.18181818	42	17.24925904
WGA_Hte-CTic_R_0.32	52887598	18.18181818	41	19.37533055
WGA_Hte-CTic_R_1	54231592	18.18181818	42	17.36835091
WGA_Hte-CTic_R_3.2	33554164	9.090909091	39	18.81131542
WGA_Lle-AMnt_NR_1	58207111	27.27272727	39	76.15318656
WGA_Lle-AMnt_R_1	66047458	27.27272727	40	67.54029909
WGA_Lle-CNas_NR_0.32	41400348	0	43	17.59919512
WGA_Lle-CNas_NR_1	25481283	9.090909091	43	16.52196736
WGA_Lle-CNas_NR_3.2	50028399	18.18181818	44	18.32409754
WGA_Lle-CNas_R_0.32	43058429	9.090909091	44	17.69599609
WGA_Lle-CNas_R_3.2	43225913	18.18181818	44	18.31322307
WGA_Sob-ABil_NR_3.2	48389904	36.36363636	46	52.55423586
WGA_Sob-ABil_R_1	65944517	27.27272727	45	61.75814824
WGA_Ssp-AAtu_R_3.2	46899080	0	40	20.57548781
WGA_Ssp-CGub_NR_0.32	41658487	18.18181818	44	15.8192027
WGA_Ssp-CGub_NR_1	41440036	18.18181818	42	18.24818753
WGA_Ssp-CGub_NR_3.2	41427411	18.18181818	42	17.18735716
WGA_Ssp-CGub_R_0.32	54365388	18.18181818	44	17.36761569
WGA_Ssp-CGub_R_1	52688931	18.18181818	44	16.7767322
WGA_Ssp-CGub_R_3.2	46866058	27.27272727	43	21.96257272
